"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\package-lock.json", "JSON", 18354, 0, 0, 0, 0, 0, 0, 1, 18355
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 23, 1, 44
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\App.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 5, 23
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\App.test.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\SaveHandler.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\AddButton.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\AddButton.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 19, 96
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\Goal.css", "CSS", 0, 0, 0, 0, 64, 0, 0, 14, 78
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\Goal.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 12, 69
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\Goals.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\Goals.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 9, 28
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\GoalsSlice.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\Label.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\Label.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\Labels.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\Labels.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\components\LabelsSlice.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\index.css", "CSS", 0, 0, 0, 0, 31, 0, 0, 7, 38
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\pages\HomePage.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\pages\HomePage.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\pages\HomePage.test.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\pages\LabelsPage.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\pages\Root.css", "CSS", 0, 0, 0, 0, 46, 0, 0, 8, 54
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\pages\Root.js", "JavaScript", 0, 28, 0, 0, 0, 0, 2, 7, 37
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\pages\Root.test.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\store.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\store.test.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 12, 54
"c:\Users\thedu\OneDrive\Desktop\Making\Coding Projects\goal-tracker\src\utilities\CalculateDate.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 14, 57
"Total", "-", 18423, 468, 38, 20, 201, 1, 35, 191, 19377
